Date,Product_ID,Store_ID,Daily_Sales,Promotion,Item_A_Quantity,Item_B_Quantity,Item_C_Quantity,Item_A_Price,Item_B_Price,Item_C_Price,Item_A_Sales,Item_B_Sales,Item_C_Sales,Random_Product_Sum,Total_Sum_All_Items
1/1/2022,P001,S01,27,0,1,107,17,8.04,58.75,32.08,8.04,6286.25,545.36,144,6839.65
1/2/2022,P001,S01,24,0,0,56,122,41.02,14.53,11.06,0,813.68,1349.32,212,2163
1/3/2022,P001,S01,27,0,0,97,108,15.52,8.88,14.45,0,861.36,1560.6,251,2421.96
1/4/2022,P001,S01,31,0,0,19,56,29.3,48.05,33.83,0,912.95,1894.48,122,2807.43
1/5/2022,P001,S01,24,1,0,111,136,44.6,49.97,20.52,0,5546.67,2790.72,280,8337.39
1/6/2022,P001,S01,24,1,0,76,65,34.29,14.25,51.98,0,1083,3378.7,190,4461.7
1/7/2022,P001,S01,32,0,0,65,23,28.98,21.81,46.12,0,1417.65,1060.76,130,2478.41
1/8/2022,P001,S01,29,1,0,25,37,19.6,8.91,54.19,0,222.75,2005.03,88,2227.78
1/9/2022,P001,S01,24,0,0,107,87,19.99,23.25,18.72,0,2487.75,1628.64,227,4116.39
1/10/2022,P001,S01,28,1,0,87,139,35.13,48.2,53.52,0,4193.4,7439.28,272,11632.68
1/11/2022,P001,S01,24,0,0,91,118,49.74,34.93,27.13,0,3178.63,3201.34,220,6379.97
1/12/2022,P001,S01,24,0,0,79,23,34.78,26.1,23.03,0,2061.9,529.69,143,2591.59
1/13/2022,P001,S01,27,0,1,79,65,30.1,27.33,8.47,30.1,2159.07,550.55,178,2739.72
1/14/2022,P001,S01,19,0,0,92,124,37.88,8.07,8.59,0,742.44,1065.16,234,1807.6
1/15/2022,P001,S01,19,0,1,104,16,25.93,23.59,39.91,25.93,2453.36,638.56,134,3117.85
1/16/2022,P001,S01,24,0,0,108,12,7.71,41.62,28.44,0,4494.96,341.28,146,4836.24
1/17/2022,P001,S01,22,0,0,28,120,30.3,58.66,17.1,0,1642.48,2052,174,3694.48
1/18/2022,P001,S01,28,1,0,7,116,48.09,52.05,36.08,0,364.35,4185.28,162,4549.63
1/19/2022,P001,S01,23,0,0,26,27,12.89,9.23,18.39,0,239.98,496.53,102,736.51
1/20/2022,P001,S01,21,0,0,57,47,36.05,54.73,34.3,0,3119.61,1612.1,124,4731.71
1/21/2022,P001,S01,33,1,0,6,124,14.04,48.73,23.6,0,292.38,2926.4,160,3218.78
1/22/2022,P001,S01,26,0,0,92,24,29.11,48.58,46.35,0,4469.36,1112.4,146,5581.76
1/23/2022,P001,S01,27,0,0,112,128,9.35,31.82,46.21,0,3563.84,5914.88,267,9478.72
1/24/2022,P001,S01,22,0,0,34,37,25.27,28.7,29.39,0,975.8,1087.43,109,2063.23
1/25/2022,P001,S01,25,1,0,42,48,39.03,23.75,23.19,0,997.5,1113.12,123,2110.62
1/26/2022,P001,S01,28,0,0,6,26,20.64,11.42,23.77,0,68.52,618.02,51,686.54
1/27/2022,P001,S01,23,0,0,68,95,34.92,19.87,45.48,0,1351.16,4320.6,189,5671.76
1/28/2022,P001,S01,29,1,0,64,135,40.8,20.82,22.08,0,1332.48,2980.8,226,4313.28
1/29/2022,P001,S01,25,1,0,25,53,46.72,33.17,16.24,0,829.25,860.72,107,1689.97
1/30/2022,P001,S01,27,0,0,37,34,15.56,46.87,10.15,0,1734.19,345.1,117,2079.29
1/31/2022,P001,S01,26,0,0,80,22,22.97,32.64,28.87,0,2611.2,635.14,129,3246.34
2/1/2022,P001,S01,36,0,0,62,34,11.86,11.01,29.62,0,682.62,1007.08,122,1689.7
2/2/2022,P001,S01,28,1,0,26,77,49.66,57.81,47.2,0,1503.06,3634.4,121,5137.46
2/3/2022,P001,S01,24,0,0,112,147,46.72,57.02,16.84,0,6386.24,2475.48,282,8861.72
2/4/2022,P001,S01,32,0,0,93,76,29.3,48.83,24.67,0,4541.19,1874.92,207,6416.11
2/5/2022,P001,S01,24,1,0,53,118,42.89,59.55,45.61,0,3156.15,5381.98,211,8538.13
2/6/2022,P001,S01,29,0,0,95,120,28.44,36.31,46.36,0,3449.45,5563.2,228,9012.65
2/7/2022,P001,S01,21,0,0,63,120,33.06,58.06,24.85,0,3657.78,2982,210,6639.78
2/8/2022,P001,S01,24,0,1,46,43,9.01,11.93,28.5,9.01,548.78,1225.5,119,1783.29
2/9/2022,P001,S01,30,0,0,96,120,38.99,27.02,20.86,0,2593.92,2503.2,234,5097.12
2/10/2022,P001,S01,32,0,1,64,17,10.75,19.72,51.7,10.75,1262.08,878.9,104,2151.73
2/11/2022,P001,S01,30,0,0,84,122,42.17,18.18,11.81,0,1527.12,1440.82,230,2967.94
2/12/2022,P001,S01,29,0,0,19,92,40.19,15.32,51.75,0,291.08,4761,147,5052.08
2/13/2022,P001,S01,28,0,0,66,51,36.89,40.37,39.51,0,2664.42,2015.01,141,4679.43
2/14/2022,P001,S01,23,1,0,66,110,6.63,48.63,32.05,0,3209.58,3525.5,213,6735.08
2/15/2022,P001,S01,27,0,0,51,15,18.64,38.07,7.6,0,1941.57,114,112,2055.57
2/16/2022,P001,S01,28,1,0,66,35,16.84,15.64,29.3,0,1032.24,1025.5,129,2057.74
2/17/2022,P001,S01,34,0,0,55,73,21.21,50.18,25.98,0,2759.9,1896.54,163,4656.44
2/18/2022,P001,S01,31,1,0,112,68,8.94,41.07,13.9,0,4599.84,945.2,215,5545.04
