epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7025,0.96286,3.27835,1.08476,1,0.2801,0.82144,0.64523,0.75716,3.6666,0.87128,0.000463798,0.000463798,0.000463798
2,21.9267,0.82847,2.08532,0.98905,0.94221,0.77493,0.96949,0.7449,0.74376,3.19561,0.90598,0.000921517,0.000921517,0.000921517
3,31.9617,0.72566,1.71494,0.95068,0.93744,0.98413,0.9828,0.75765,0.77996,2.15292,0.97361,0.00136037,0.00136037,0.00136037
4,41.9754,0.77151,1.78159,0.97005,0.97629,0.96426,0.995,0.85318,0.60694,2.02037,0.86096,0.00134412,0.00134412,0.00134412
5,51.9035,0.7117,1.53603,0.93869,0.9078,0.93659,0.98177,0.80829,0.65079,1.82892,0.86714,0.00131582,0.00131582,0.00131582
6,61.9432,0.72062,1.44538,0.93581,0.98154,1,0.995,0.84671,0.58772,1.68854,0.85721,0.00128753,0.00128753,0.00128753
7,72.1813,0.66317,1.33216,0.91816,0.99114,0.98577,0.995,0.87623,0.53802,1.31991,0.84722,0.00125923,0.00125923,0.00125923
8,82.3979,0.68036,1.23622,0.94877,0.95608,0.98595,0.9901,0.87282,0.48979,1.27309,0.83089,0.00123094,0.00123094,0.00123094
9,92.5126,0.6053,1.10735,0.90087,0.97326,0.98137,0.99167,0.88158,0.47497,1.18249,0.82445,0.00120265,0.00120265,0.00120265
10,102.744,0.57231,1.06981,0.92567,0.99149,1,0.995,0.88725,0.46654,1.09051,0.82281,0.00117435,0.00117435,0.00117435
11,112.93,0.58576,1.02336,0.9019,0.99187,1,0.995,0.86869,0.52233,0.96142,0.83822,0.00114606,0.00114606,0.00114606
12,123.442,0.55753,0.9119,0.89625,0.99565,1,0.995,0.92497,0.38047,0.88836,0.80768,0.00111776,0.00111776,0.00111776
13,134.721,0.53265,0.83373,0.91008,0.99184,1,0.995,0.92714,0.38702,0.85693,0.80673,0.00108947,0.00108947,0.00108947
14,145.283,0.52847,0.83827,0.8933,0.99609,1,0.995,0.92482,0.38079,0.77662,0.80507,0.00106118,0.00106118,0.00106118
15,155.566,0.47191,0.81166,0.88765,0.98991,0.99881,0.995,0.94325,0.35077,0.75487,0.79795,0.00103288,0.00103288,0.00103288
16,165.772,0.46287,0.7489,0.87699,0.98797,0.99608,0.995,0.9419,0.35842,0.78082,0.80026,0.00100459,0.00100459,0.00100459
17,175.88,0.48684,0.73161,0.88898,0.98113,0.99968,0.995,0.96308,0.3108,0.67241,0.79856,0.000976293,0.000976293,0.000976293
18,186.229,0.45273,0.66215,0.88069,0.99402,1,0.995,0.95115,0.32659,0.64848,0.7958,0.000947999,0.000947999,0.000947999
19,196.56,0.41986,0.62725,0.87027,0.9936,1,0.995,0.95856,0.29009,0.58319,0.79218,0.000919704,0.000919704,0.000919704
20,206.715,0.43781,0.6368,0.8718,0.98879,0.99959,0.995,0.95649,0.33048,0.54286,0.79387,0.00089141,0.00089141,0.00089141
21,216.905,0.44305,0.60639,0.8697,0.99356,1,0.995,0.95724,0.28116,0.53209,0.78336,0.000863116,0.000863116,0.000863116
22,227.134,0.42333,0.58228,0.8735,0.99395,1,0.995,0.95445,0.30446,0.51968,0.78825,0.000834822,0.000834822,0.000834822
23,237.357,0.42847,0.58487,0.88625,0.99335,1,0.995,0.96714,0.27376,0.49753,0.78545,0.000806528,0.000806528,0.000806528
24,247.667,0.39032,0.5465,0.86368,0.99454,1,0.995,0.96246,0.30165,0.48536,0.78704,0.000778233,0.000778233,0.000778233
25,257.978,0.40512,0.57144,0.85835,0.98921,1,0.995,0.96622,0.2565,0.49001,0.77929,0.000749939,0.000749939,0.000749939
26,268.399,0.42105,0.5502,0.89348,0.99386,1,0.995,0.96851,0.25607,0.44757,0.78166,0.000721645,0.000721645,0.000721645
27,278.788,0.37547,0.5046,0.86003,0.99242,1,0.995,0.9816,0.236,0.43999,0.77888,0.000693351,0.000693351,0.000693351
28,289.188,0.33959,0.47123,0.84267,0.99573,1,0.995,0.97327,0.24495,0.4303,0.78108,0.000665057,0.000665057,0.000665057
29,299.492,0.37668,0.49281,0.85578,0.99444,1,0.995,0.9765,0.24124,0.42226,0.77891,0.000636762,0.000636762,0.000636762
30,309.818,0.33918,0.45522,0.83422,0.99445,1,0.995,0.97044,0.24634,0.40008,0.77851,0.000608468,0.000608468,0.000608468
31,320.251,0.31938,0.44572,0.83877,0.99347,1,0.995,0.98673,0.20198,0.37176,0.77606,0.000580174,0.000580174,0.000580174
32,330.757,0.33474,0.43699,0.83796,0.99587,1,0.995,0.9801,0.21283,0.37148,0.77538,0.00055188,0.00055188,0.00055188
33,341.105,0.32754,0.44244,0.85129,0.99632,1,0.995,0.98248,0.21633,0.36786,0.77464,0.000523586,0.000523586,0.000523586
34,351.759,0.32969,0.4257,0.83447,0.99221,1,0.995,0.98061,0.20959,0.36646,0.77295,0.000495291,0.000495291,0.000495291
35,362.111,0.30351,0.41092,0.82197,0.99285,1,0.995,0.98283,0.21249,0.36554,0.77188,0.000466997,0.000466997,0.000466997
36,372.42,0.28046,0.40408,0.83486,0.99392,1,0.995,0.99067,0.18513,0.34398,0.7693,0.000438703,0.000438703,0.000438703
37,383.035,0.33079,0.42076,0.84053,0.99663,1,0.995,0.98363,0.2072,0.3491,0.77086,0.000410409,0.000410409,0.000410409
38,393.909,0.29382,0.39503,0.8314,0.99283,1,0.995,0.97966,0.18488,0.33069,0.77045,0.000382115,0.000382115,0.000382115
39,405.021,0.31794,0.4011,0.84671,0.99555,1,0.995,0.97874,0.18735,0.32259,0.76986,0.00035382,0.00035382,0.00035382
40,415.918,0.28608,0.37218,0.83543,0.99591,1,0.995,0.98388,0.19664,0.31539,0.76945,0.000325526,0.000325526,0.000325526
41,426.591,0.21638,0.34287,0.78556,0.99386,1,0.995,0.99157,0.16621,0.30812,0.76701,0.000297232,0.000297232,0.000297232
42,437.176,0.22962,0.35716,0.79789,0.99417,1,0.995,0.99113,0.17272,0.31161,0.76725,0.000268938,0.000268938,0.000268938
43,447.61,0.20621,0.32532,0.76806,0.99514,1,0.995,0.99252,0.16512,0.30046,0.76586,0.000240644,0.000240644,0.000240644
44,458.015,0.21006,0.32733,0.78922,0.99491,1,0.995,0.99206,0.15629,0.28309,0.76729,0.000212349,0.000212349,0.000212349
45,468.292,0.21415,0.32614,0.78866,0.99498,1,0.995,0.99387,0.16042,0.2916,0.76651,0.000184055,0.000184055,0.000184055
46,478.588,0.20096,0.33633,0.78847,0.99519,1,0.995,0.99074,0.14892,0.27685,0.76599,0.000155761,0.000155761,0.000155761
47,489.001,0.19616,0.30678,0.78852,0.99552,1,0.995,0.9939,0.13599,0.26452,0.76531,0.000127467,0.000127467,0.000127467
48,499.252,0.17444,0.30023,0.7909,0.99557,1,0.995,0.99387,0.13133,0.26354,0.76512,9.91726e-05,9.91726e-05,9.91726e-05
49,509.511,0.17873,0.29961,0.80292,0.99579,1,0.995,0.99388,0.12574,0.2647,0.76471,7.08784e-05,7.08784e-05,7.08784e-05
50,519.845,0.17587,0.29588,0.79461,0.99554,1,0.995,0.99215,0.12633,0.26003,0.76501,4.25842e-05,4.25842e-05,4.25842e-05
